ID,SID,Citys,Titles,Address,REF,TEL,FAX,WWW,Region,RID,RIDS,ACC,MID,XID,LATQ,LNGQ,Elevation,Zoom,B_E,B_SYNC
1,"0","0","0","广东省深圳市南山区桃源街道龙珠六路塘朗山公园","0","0","0","0","0",0,0,1,4,3,22.56614225,113.9808368,0,0,0,0
2,"0","0","0","广东省深圳市宝安区石岩街道园径","0","0","0","0","0",0,0,1,4,3,22.68620526,113.9405252,0,0,0,0
3,"0","0","0","广东省深圳市南山区桃源街道林涧美院","0","0","0","0","0",0,0,1,4,3,22.57651183,113.957198,0,0,0,0
4,"0","0","0","广东省深圳市盐田区海山街道深圳广播电视大学沙头角分校梧桐山风景名胜区","0","0","0","0","0",0,0,1,4,3,22.56484081,114.2445711,0,0,0,0
5,"0","0","0","广东省深圳市南山区西丽街道万兴街8-2号松坪学校中学部","0","0","0","0","0",0,0,1,4,3,22.55888775,113.9507227,0,0,0,0
6,"0","0","0","广东省深圳市盐田区海山街道沙盐路2094号海山公园","0","0","0","0","0",0,0,1,4,3,22.55899906,114.2413174,0,0,0,0
7,"0","0","0","广东省深圳市南山区沙河街道波托菲诺纯水岸14期波托菲诺-纯水岸","0","0","0","0","0",0,0,1,4,3,22.54900371,113.9722597,0,0,0,0
8,"0","0","0","广东省深圳市南山区西丽街道沙河西路3013号白沙新兴产业园","0","0","0","0","0",0,0,1,4,3,22.56277351,113.9565735,0,0,0,0
9,"0","0","0","广东省深圳市南山区南山街道依云伴山恒立心海湾花园","0","0","0","0","0",0,0,1,4,3,22.50001192,113.8956606,0,0,0,0
10,"0","0","0","广东省深圳市南山区南头街道义学街2-3号","0","0","0","0","0",0,0,1,4,3,22.5437861,113.9239778,0,0,0,0
11,"0","0","0","广东省深圳市南山区粤海街道学林雅院","0","0","0","0","0",0,0,1,4,3,22.52486369,113.9308596,0,0,0,0
12,"0","0","0","广东省深圳市南山区粤海街道海德三道178号海岸城西座","0","0","0","0","0",0,0,1,4,3,22.519087,113.9358436,0,0,0,0
13,"0","0","0","广东省深圳市南山区沙河街道香山中街天鹅堡","0","0","0","0","0",0,0,1,4,3,22.54797243,113.977909,0,0,0,0
14,"0","0","0","广东省深圳市南山区粤海街道海逸苑","0","0","0","0","0",0,0,1,4,3,22.50616871,113.9314284,0,0,0,0
15,"0","0","0","广东省深圳市南山区招商街道天骄华庭","0","0","0","0","0",0,0,1,4,3,22.49962566,113.9365145,0,0,0,0
16,"0","0","0","广东省深圳市南山区南头街道南山大道南头商业步行街","0","0","0","0","0",0,0,1,4,3,22.54032142,113.9236456,0,0,0,0
17,"0","0","0","广东省深圳市南山区南山街道荔园大厦","0","0","0","0","0",0,0,1,4,3,22.52455419,113.9247319,0,0,0,0
18,"0","0","0","广东省深圳市南山区南山街道青青世界月亮湾公园","0","0","0","0","0",0,0,1,4,3,22.4981901,113.8984817,0,0,0,0
19,"0","0","0","广东省深圳市南山区沙河街道波托菲诺-纯水岸","0","0","0","0","0",0,0,1,4,3,22.54603946,113.9749684,0,0,0,0
20,"0","0","0","广东省深圳市南山区招商街道海月花园三期海月花园3期","0","0","0","0","0",0,0,1,4,3,22.49772892,113.9373377,0,0,0,0
21,"0","0","0","广东省深圳市南山区蛇口街道雍景轩税务小区","0","0","0","0","0",0,0,1,4,3,22.49416247,113.927139,0,0,0,0
22,"0","0","0","广东省深圳市南山区粤海街道文心四路学府中学","0","0","0","0","0",0,0,1,4,3,22.51592012,113.9356769,0,0,0,0
23,"0","0","0","广东省深圳市南山区粤海街道中心路","0","0","0","0","0",0,0,1,4,3,22.51578568,113.9420557,0,0,0,0
24,"0","0","0","广东省深圳市福田区香蜜湖街道天宝物华荔轩小学","0","0","0","0","0",0,0,1,4,3,22.54220963,114.0196493,0,0,0,0
25,"0","0","0","广东省深圳市福田区香蜜湖街道安托山大巴充电场","0","0","0","0","0",0,0,1,4,3,22.54458961,113.9986601,0,0,0,0
26,"0","0","0","广东省深圳市南山区蛇口街道全球鹰国际教育城后海雅园","0","0","0","0","0",0,0,1,4,3,22.49308313,113.9358391,0,0,0,0
27,"0","0","0","广东省深圳市南山区南山街道怡泰宾馆富嘉名阁","0","0","0","0","0",0,0,1,4,3,22.52488949,113.9191429,0,0,0,0
28,"0","0","0","广东省深圳市南山区粤海街道科苑北路东方科技大厦","0","0","0","0","0",0,0,1,4,3,22.54808582,113.9453119,0,0,0,0
29,"0","0","0","广东省深圳市南山区桃源街道龙珠六路十五峯花园","0","0","0","0","0",0,0,1,4,3,22.56470734,113.9820093,0,0,0,0
30,"0","0","0","广东省深圳市罗湖区东湖街道深圳水库","0","0","0","0","0",0,0,1,4,3,22.58193448,114.1563953,0,0,0,0
31,"0","0","0","广东省深圳市罗湖区黄贝街道文锦南路文锦大厦","0","0","0","0","0",0,0,1,4,3,22.54293611,114.1314072,0,0,0,0
32,"0","0","0","广东省深圳市南山区粤海街道海天一路深圳百度国际大厦","0","0","0","0","0",0,0,1,4,3,22.52394954,113.9434416,0,0,0,0
33,"0","0","0","广东省深圳市南山区粤海街道城市山谷新世界豪园别墅","0","0","0","0","0",0,0,1,4,3,22.55101305,113.9567446,0,0,0,0
34,"0","0","0","广东省深圳市罗湖区东湖街道丹平快速路","0","0","0","0","0",0,0,1,4,3,22.5829933,114.1471227,0,0,0,0
35,"0","0","0","广东省深圳市罗湖区黄贝街道文锦中路1018号-7海丽大厦","0","0","0","0","0",0,0,1,4,3,22.54927013,114.1317447,0,0,0,0
36,"0","0","0","广东省深圳市南山区粤海街道桂庙新村江淮轿车安诚瑞风店","0","0","0","0","0",0,0,1,4,3,22.52596134,113.9353993,0,0,0,0
37,"0","0","0","广东省深圳市龙华区黎岗村观澜湖黎光会所","0","0","0","0","0",0,0,1,4,3,22.7563793,114.0421356,0,0,0,0
38,"0","0","0","广东省深圳市龙岗区葵涌街道广深驾校葵涌分部","0","0","0","0","0",0,0,1,4,3,22.64144071,114.4227421,0,0,0,0
39,"0","0","0","广东省深圳市龙华区观平路229号","0","0","0","0","0",0,0,1,4,3,22.71166007,114.0728836,0,0,0,0
40,"0","0","0","广东省深圳市龙岗区布吉街道吉大花园布吉新村","0","0","0","0","0",0,0,1,4,3,22.60649323,114.1241536,0,0,0,0
41,"0","0","0","广东省深圳市龙岗区坂田街道坂田街道专职消防队(北站)","0","0","0","0","0",0,0,1,4,3,22.66229971,114.0729969,0,0,0,0
