ID,SID,Citys,Titles,Address,REF,TEL,FAX,WWW,Region,RID,RIDS,ACC,MID,XID,LATQ,LNGQ,Elevation,Zoom,B_E,B_SYNC
1,"0","0","0","","0","0","0","0","0",0,0,9,4,3,0,0,0,0,0,0
2,"0","0","0","广东省东莞市厚街镇国际家居","0","0","0","0","0",0,0,1,4,3,22.947097,113.679983,0,0,0,0
3,"0","0","0","广东省深圳市南山区桃源街道群泰花园塘朗山公园","0","0","0","0","0",0,0,1,4,3,22.577792,113.966524,0,0,0,0
4,"0","0","0","广东省广州市天河区元岗街道犀牛东路","0","0","0","0","0",0,0,1,4,3,23.192458,113.347272,0,0,0,0
5,"0","0","0","广东省广州市白云区永平街道东平北路156号永平商务酒店","0","0","0","0","0",0,0,1,4,3,23.255965,113.31875,0,0,0,0
6,"0","0","0","安徽省宿州市埇桥区西关街道刘军散打队","0","0","0","0","0",0,0,1,4,3,33.65205,116.97047,0,0,0,0
7,"0","0","0","广东省江门市台山市台城街道仪凤里","0","0","0","0","0",0,0,1,4,3,22.262784,112.79768,0,0,0,0
8,"0","0","0","重庆市璧山区璧泉街道黑房子","0","0","0","0","0",0,0,1,4,3,29.560903,106.239083,0,0,0,0
9,"0","0","0","广东省广州市天河区棠下街道棠福路15号","0","0","0","0","0",0,0,1,4,3,23.143373,113.376315,0,0,0,0
10,"0","0","0","广东省广州市增城区中新镇石桥","0","0","0","0","0",0,0,1,4,3,23.28528,113.651842,0,0,0,0
11,"0","0","0","广东省广州市黄埔区红山街道远洋路49号","0","0","0","0","0",0,0,1,4,3,23.099259,113.488909,0,0,0,0
12,"0","0","0","广东省广州市天河区元岗街道犀牛东路","0","0","0","0","0",0,0,1,4,3,23.192462,113.34726,0,0,0,0
13,"0","0","0","广东省深圳市南山区粤海街道大冲五路英伦名苑1期","0","0","0","0","0",0,0,1,4,3,22.548889,113.955368,0,0,0,0
14,"0","0","0","广东省广州市天河区长兴街道长湴公园","0","0","0","0","0",0,0,1,4,3,23.178845,113.358177,0,0,0,0
15,"0","0","0","广东省东莞市东城街道红荔路216号嘉富大厦","0","0","0","0","0",0,0,1,4,3,23.054911,113.768888,0,0,0,0
16,"0","0","0","广东省东莞市东城街道花园路137号","0","0","0","0","0",0,0,1,4,3,23.053426,113.761634,0,0,0,0
17,"0","0","0","广东省东莞市望牛墩镇河西路23号","0","0","0","0","0",0,0,1,4,3,23.054769,113.65272,0,0,0,0
18,"0","0","0","广东省东莞市樟木头镇旗峰路","0","0","0","0","0",0,0,1,4,3,22.92814,114.081898,0,0,0,0
19,"0","0","0","广东省广州市越秀区黄花岗街道先烈中路111号先烈中路小学","0","0","0","0","0",0,0,1,4,3,23.146943,113.305001,0,0,0,0
20,"0","0","0","广东省广州市番禺区大石街道祥和路35号博爱幼儿园(祥和路)","0","0","0","0","0",0,0,1,4,3,23.025829,113.317362,0,0,0,0
21,"0","0","0","广东省东莞市寮步镇盘石围一街13号","0","0","0","0","0",0,0,1,4,3,23.012667,113.839206,0,0,0,0
22,"0","0","0","广东省深圳市宝安区新安街道留仙一路2-1号高新奇","0","0","0","0","0",0,0,1,4,3,22.574867,113.920188,0,0,0,0
23,"0","0","0","湖南省邵阳市隆回县桃洪镇水府庙","0","0","0","0","0",0,0,1,4,3,27.124487,111.017906,0,0,0,0
24,"0","0","0","广东省广州市白云区均禾街道竹仔园街","0","0","0","0","0",0,0,1,4,3,23.262722,113.29603,0,0,0,0
25,"0","0","0","广东省广州市白云区永平街道解放庄路17号","0","0","0","0","0",0,0,1,4,3,23.216283,113.29179,0,0,0,0
26,"0","0","0","广东省深圳市宝安区公明街道光侨路","0","0","0","0","0",0,0,1,4,3,22.724052,113.922057,0,0,0,0
27,"0","0","0","广东省广州市番禺区大石街道祥和路35号博爱幼儿园(祥和路)","0","0","0","0","0",0,0,1,4,3,23.025831,113.31738,0,0,0,0
28,"0","0","0","广东省广州市越秀区洪桥街道越秀公园","0","0","0","0","0",0,0,1,4,3,23.141684,113.262137,0,0,0,0
29,"0","0","0","广东省广州市天河区兴华街道广东工贸职业技术学院(东区)","0","0","0","0","0",0,0,1,4,3,23.173014,113.320705,0,0,0,0
30,"0","0","0","广东省广州市白云区棠景街道棠安路和馨雅居","0","0","0","0","0",0,0,1,4,3,23.187008,113.257642,0,0,0,0
31,"0","0","0","广东省广州市越秀区白云街道珠江越秀·宏城花园","0","0","0","0","0",0,0,1,4,3,23.10714,113.301889,0,0,0,0
32,"0","0","0","广东省深圳市龙华区乌石岗","0","0","0","0","0",0,0,1,4,3,22.667339,114.007186,0,0,0,0
33,"0","0","0","广东省广州市天河区黄村街道广园快速路","0","0","0","0","0",0,0,1,4,3,23.129688,113.409023,0,0,0,0
34,"0","0","0","广东省惠州市惠东县平山街道象飞路","0","0","0","0","0",0,0,1,4,3,22.993463,114.728544,0,0,0,0
35,"0","0","0","广东省东莞市长安镇新安一路328号","0","0","0","0","0",0,0,1,4,3,22.799744,113.782606,0,0,0,0
36,"0","0","0","广东省广州市天河区车陂街道东灏商业大厦","0","0","0","0","0",0,0,1,4,3,23.125731,113.402306,0,0,0,0
37,"0","0","0","广东省佛山市南海区丹灶镇夫子岗路","0","0","0","0","0",0,0,1,4,3,23.089162,112.882467,0,0,0,0
38,"0","0","0","广东省广州市天河区棠下街道车陂西路云傲国际名车销售中心","0","0","0","0","0",0,0,1,4,3,23.13759,113.381757,0,0,0,0
39,"0","0","0","广东省东莞市厚街镇羊角山","0","0","0","0","0",0,0,1,4,3,22.935859,113.683234,0,0,0,0
40,"0","0","0","广东省茂名市茂南区官渡街道广东石油化工学院","0","0","0","0","0",0,0,1,4,3,21.679227,110.922443,0,0,0,0
41,"0","0","0","广东省广州市黄埔区红山街道远洋路49号龙头山森林公园","0","0","0","0","0",0,0,1,4,3,23.099656,113.487402,0,0,0,0
42,"0","0","0","广东省佛山市禅城区祖庙街道东升二街","0","0","0","0","0",0,0,1,4,3,23.039077,113.133736,0,0,0,0
43,"0","0","0","广东省深圳市龙岗区坂田街道坂田高新技术工业园(北门)绅士酒店","0","0","0","0","0",0,0,1,4,3,22.640977,114.061072,0,0,0,0
44,"0","0","0","广东省深圳市宝安区沙井街道万丰村福永钢材批发市场","0","0","0","0","0",0,0,1,4,3,22.698914,113.818848,0,0,0,0
45,"0","0","0","广东省深圳市宝安区福永街道凤塘大道1号","0","0","0","0","0",0,0,1,4,3,22.699085,113.79328,0,0,0,0
46,"0","0","0","广东省深圳市龙岗区坂田街道万科金色半山","0","0","0","0","0",0,0,1,4,3,22.630761,114.088349,0,0,0,0
47,"0","0","0","广东省深圳市龙岗区龙岗街道龙园路","0","0","0","0","0",0,0,1,4,3,22.736419,114.275272,0,0,0,0
48,"0","0","0","广东省广州市白云区金沙街道黄丽十六巷","0","0","0","0","0",0,0,1,4,3,23.166269,113.21411,0,0,0,0
49,"0","0","0","广东省湛江市徐闻县徐城街道徐闻县交通运输局","0","0","0","0","0",0,0,1,4,3,20.335061,110.178827,0,0,0,0
50,"0","0","0","广东省广州市番禺区大石街道福泰园","0","0","0","0","0",0,0,1,4,3,23.026671,113.314161,0,0,0,0
51,"0","0","0","广东省深圳市龙岗区布吉街道可园兴和苑(湖西路)","0","0","0","0","0",0,0,1,4,3,22.605016,114.134612,0,0,0,0
52,"0","0","0","广东省深圳市罗湖区翠竹街道爱国路1025号木头龙住宅小区","0","0","0","0","0",0,0,1,4,3,22.55258,114.131064,0,0,0,0
53,"0","0","0","广东省深圳市宝安区新安街道翻身路安乐新苑","0","0","0","0","0",0,0,1,4,3,22.551065,113.906415,0,0,0,0
54,"0","0","0","广东省广州市白云区太和镇长岭东街","0","0","0","0","0",0,0,1,4,3,23.258526,113.320772,0,0,0,0
55,"0","0","0","广东省广州市白云区同和街道白山西街","0","0","0","0","0",0,0,1,4,3,23.201831,113.329844,0,0,0,0
56,"0","0","0","广东省深圳市福田区香蜜湖街道北环大道","0","0","0","0","0",0,0,1,4,3,22.55234,114.004208,0,0,0,0
57,"0","0","0","广东省广州市越秀区北京街道广东省财政厅","0","0","0","0","0",0,0,1,4,3,23.127808,113.268909,0,0,0,0
58,"0","0","0","广东省东莞市厚街镇港口大道","0","0","0","0","0",0,0,1,4,3,22.963677,113.668272,0,0,0,0
59,"0","0","0","广东省深圳市福田区华强北街道振兴路17号华美大厦","0","0","0","0","0",0,0,1,4,3,22.546424,114.091551,0,0,0,0
60,"0","0","0","广东省广州市番禺区大石街道沿江东路大建大厦","0","0","0","0","0",0,0,1,4,3,23.027282,113.321826,0,0,0,0
61,"0","0","0","广东省深圳市龙华区东环二路91号","0","0","0","0","0",0,0,1,4,3,22.649465,114.046196,0,0,0,0
62,"0","0","0","广东省东莞市东城街道新世纪大厦民盈山·国贸中心(建设中)","0","0","0","0","0",0,0,1,4,3,23.013316,113.764039,0,0,0,0
63,"0","0","0","广东省深圳市宝安区公明街道下辇路","0","0","0","0","0",0,0,1,4,3,22.786188,113.89986,0,0,0,0
64,"0","0","0","广东省深圳市龙岗区坂田街道万科金色半山","0","0","0","0","0",0,0,1,4,3,22.631265,114.088053,0,0,0,0
65,"0","0","0","广东省深圳市南山区桃源街道学苑大道1172号南方科技大学","0","0","0","0","0",0,0,1,4,3,22.59321,113.997232,0,0,0,0
66,"0","0","0","广东省深圳市龙岗区G94珠三角环线高速","0","0","0","0","0",0,0,1,4,3,22.646966,114.054897,0,0,0,0
67,"0","0","0","广东省深圳市南山区南头街道红花路77号","0","0","0","0","0",0,0,1,4,3,22.537631,113.921206,0,0,0,0
68,"0","0","0","广东省广州市番禺区市桥街道富华东路东泰楼","0","0","0","0","0",0,0,1,4,3,22.945963,113.378949,0,0,0,0
69,"0","0","0","广东省深圳市宝安区新安街道前进一路宝安中医院","0","0","0","0","0",0,0,1,4,3,22.572454,113.900611,0,0,0,0
70,"0","0","0","广东省广州市越秀区黄花岗街道广州动物园","0","0","0","0","0",0,0,1,4,3,23.138201,113.305131,0,0,0,0
71,"0","0","0","广东省广州市越秀区北京街道广大路68号五月花商业广场","0","0","0","0","0",0,0,1,4,3,23.125711,113.266843,0,0,0,0
72,"0","0","0","广东省东莞市黄江镇环城路71号棕榈泉六期星光天地","0","0","0","0","0",0,0,1,4,3,22.921069,114.011611,0,0,0,0
73,"0","0","0","广东省广州市海珠区凤阳街道东晓南路184号泰沙大厦","0","0","0","0","0",0,0,1,4,3,23.085993,113.286892,0,0,0,0
74,"0","0","0","广东省广州市白云区同和街道白山西街3号","0","0","0","0","0",0,0,1,4,3,23.201472,113.328149,0,0,0,0
