任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价,任务点,新的定价
1,66.4472423,108,64.54038533,215,66.6240292,322,67.85614668,434,69.24787806,536,68.3205598,643,72.965608,750,71.14038787
2,65.749875,109,65.66618415,216,68.8807894,323,66.97831707,435,68.83668903,537,72.08658196,644,70.36505339,751,69.99439423
3,66.19550578,110,65.57211874,217,69.32593174,324,67.12970093,436,69.26570736,538,69.85589958,645,70.02550435,752,68.30131133
4,67.87307611,111,64.80866745,218,66.61336179,325,67.64354423,437,69.30761035,539,74.01123018,646,69.99345793,753,69.38771816
5,66.16389137,112,65.53536367,219,69.33951327,326,67.50502005,438,69.32607363,540,73.15367663,647,70.15459174,754,69.34001479
6,67.87384106,113,66.68022615,220,68.95111874,327,67.35760138,439,66.60071907,541,74.09202293,648,73.18867853,755,70.768522
7,66.39901645,114,64.94466668,221,69.24394859,328,67.31715979,414,67.77959447,542,73.88354533,649,70.18077161,756,67.36397601
8,66.21657113,115,64.15170418,222,69.85132593,329,67.32025112,415,67.29271676,543,74.23003451,650,70.25146764,757,73.03903949
9,65.65057096,116,66.93575477,223,69.33666683,330,67.69632103,416,67.30765467,544,73.94357165,651,73.18141138,758,68.87486176
10,65.90249928,117,66.70266042,224,68.96231746,331,66.94200163,417,73.01017885,545,73.79329849,652,70.16701879,759,72.94672274
11,66.01516134,118,65.11230419,225,68.81363276,332,67.46658,418,67.33013348,546,73.50501255,653,72.55004007,760,70.22551481
12,66.08075676,119,65.69809491,226,69.23837526,333,67.00480011,440,67.40795486,547,73.2025601,654,72.50095252,761,69.0188892
13,66.45498173,120,65.52198305,227,69.11193069,334,68.56046824,441,67.46825364,548,71.84882212,655,72.07219832,762,68.20752221
14,66.05637054,121,67.54532697,228,68.97199148,335,66.75825732,442,67.63906099,549,73.03245676,656,71.97759171,763,69.75498
15,66.12438753,122,65.39879776,229,69.02041304,336,67.39279449,443,66.54284533,550,73.89663178,657,71.92592674,764,70.65716472
16,65.90530176,123,65.63030978,230,66.34067837,337,66.95343382,444,67.27531203,551,71.98859563,658,71.84901382,765,68.89255288
17,65.94720812,124,65.85156124,231,68.81892434,338,67.31922616,445,65.82371795,552,72.83088637,659,72.50544619,766,70.81059921
18,65.68841579,125,64.45954274,232,69.12353667,339,67.31510929,446,67.3999657,553,72.30515245,660,72.50544619,767,68.73058004
19,66.43070376,126,71.36723726,233,69.01309191,340,68.56046824,447,67.03950555,554,72.74063218,661,72.49434043,768,69.01946362
20,66.1368761,127,67.84459783,234,68.93470202,341,67.5110014,448,66.9363001,555,72.31022429,662,72.1817506,769,69.16586218
21,66.03101325,128,67.27612747,235,69.0186341,342,67.58286238,449,68.6494059,556,73.8894802,663,72.16963112,770,72.25756789
22,66.08485257,129,68.28164187,236,68.96870256,343,66.72146835,450,66.79563654,557,72.17585295,664,72.49962471,771,68.99940618
23,66.15403686,130,67.15049406,237,66.31739095,344,67.3181345,451,64.26276958,558,73.15180296,665,72.0957345,772,72.29987806
24,66.8285009,131,67.93080813,238,69.04061093,345,67.34932299,452,64.99001643,559,72.09759382,666,72.42044305,773,71.70863359
25,66.64981149,132,67.6489737,239,66.78362457,346,67.25482371,453,64.43675729,560,73.01679307,667,72.1529064,774,72.67732459
