"","x"
"1",66.4472423036238
"2",65.7498750011852
"3",66.1955057833169
"4",67.8730761066776
"5",66.1638913744196
"6",67.8738410571364
"7",66.3990164517579
"8",66.2165711276524
"9",65.650570956977
"10",65.9024992776016
"11",66.0151613382714
"12",66.0807567561521
"13",66.454981727083
"14",66.0563705406039
"15",66.1243875326824
"16",65.9053017553902
"17",65.9472081183691
"18",65.6884157884894
"19",66.430703756919
"20",66.1368760967696
"21",66.0310132467178
"22",66.0848525726033
"23",66.1540368563192
"24",66.8285008987502
"25",66.6498114907267
"26",66.1292311077462
"27",65.8829506342086
"28",66.1279319376481
"29",66.4610144640083
"30",67.5283157038988
"31",67.5016782632932
"32",66.1535749024374
"33",66.2411324419738
"34",67.4890994543633
"35",67.491096551041
"36",66.0630525710105
"37",66.445000106701
"38",68.2760622770757
"39",66.7853605773228
"40",67.338911776913
"41",66.928740952943
"42",67.6556394345132
"43",67.4851043474412
"44",67.4242294843875
"45",66.6419721856221
"46",64.9349095891747
"47",67.5340497766756
"48",67.2670650406586
"49",67.5340197910064
"50",67.8953087820291
"51",66.9551924495032
"52",66.9165452008592
"53",67.8162897171973
"54",66.7569806307492
"55",67.652513993946
"56",67.5146060840597
"57",65.6047770880534
"58",67.2118453114608
"59",66.9831064304067
"60",66.9621103930064
"61",66.9513853091053
"62",67.4518756134275
"63",68.2760622770757
"64",67.471674533285
"65",67.5757845316204
"66",67.5328420783969
"67",66.6083283073118
"68",66.9797557820049
"69",67.5447772938309
"70",64.07821797857
"71",67.73974427273
"72",67.0640551007232
"73",67.5632221979666
"74",67.2769232201467
"75",67.3823983277448
"76",65.8067435670744
"77",67.5561094148717
"78",64.07821797857
"79",66.1120108526487
"80",66.8160706605529
"81",66.3432002901682
"82",67.4381053055245
"83",66.3335127516361
"84",66.5523512199787
"85",64.1986145196942
"86",64.4541885784595
"87",64.2611701055058
"88",65.2089682597911
"89",64.0449517618881
"90",66.0234256908439
"91",66.8322241895302
"92",66.6851980678328
"93",64.4669231420505
"94",64.1393086466651
"95",65.0945527333143
"96",66.6658594320744
"97",64.4442673206595
"98",64.319164187924
"99",64.2611701055058
